1 1:391.74387 2:21.631502 3:4.567527 4:0.19913884 5:10.1311655 6:-3.751775 7:1.5368943 8:-11.913571 9:6.1539145 10:-3.8842974 11:4.2921977 12:-6.5740085 13:4.9320645 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:386.23383 2:28.98274 3:-0.10799918 4:-0.7261486 5:9.465427 6:-5.553239 7:4.3891807 8:-11.338635 9:9.159276 10:-3.0922868 11:3.5958116 12:-7.848272 13:5.147251 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:380.2762 2:27.307175 3:2.5139282 4:-5.558776 5:9.718949 6:-3.8246224 7:5.051943 8:-7.5123563 9:10.621093 10:-0.63078195 11:2.7036996 12:-10.051687 13:3.3152487 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:377.55664 2:24.50037 3:-1.2019838 4:-3.7094834 5:10.951305 6:0.27782997 7:7.026709 8:-4.8013444 9:12.617002 10:-2.3065963 11:3.2808795 12:-10.899571 13:3.263439 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:374.56396 2:17.889389 3:-3.0161092 4:-0.07026839 5:9.68015 6:4.790896 7:9.50834 8:-5.7538743 9:12.593039 10:-4.7466674 11:1.3686638 12:-9.211182 13:5.581422 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:360.73328 2:10.407207 3:-2.612163 4:5.063333 5:9.380311 6:2.4656274 7:9.625572 8:-2.7393966 9:11.676158 10:-6.7203574 11:0.13984895 12:-4.78241 13:5.0955753 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:366.03812 2:-9.529248 3:-10.84754 4:14.97759 5:8.090566 6:-5.8587303 7:6.742861 8:-3.9853601 9:10.5946865 10:-4.8287635 11:1.6414891 12:-1.4159763 13:5.004268 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:365.87195 2:-13.530326 3:-8.6576185 4:13.82214 5:6.4275475 6:-6.06965 7:7.107468 8:-2.1062694 9:7.024393 10:-5.551544 11:0.63416445 12:-2.2945595 13:3.2567403 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:366.63464 2:-14.664738 3:-10.725582 4:12.152512 5:4.588666 6:-6.307286 7:6.1643434 8:-3.310401 9:6.2923594 10:-5.7622876 11:1.1591524 12:-2.153605 13:3.431666 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:370.2057 2:-13.321515 3:-12.3824835 4:9.337533 5:4.647457 6:-2.8336587 7:7.255142 8:-3.70558 9:5.5517883 10:-6.7288733 11:-0.15550438 12:-1.8562195 13:3.9270244 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:364.24457 2:-6.982195 3:-12.6405 4:7.231918 5:5.0117135 6:-1.4742206 7:7.889997 8:-2.3932624 9:6.938672 10:-7.8516517 11:-0.14706184 12:-3.0138502 13:4.912289 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:352.25482 2:7.3937073 3:-3.234735 4:5.2342196 5:7.5864673 6:0.68087006 7:10.236644 8:-1.6749104 9:8.888126 10:-5.633975 11:1.1090252 12:-3.7617488 13:5.1840754 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:383.29922 2:17.878742 3:-3.824341 4:0.02981897 5:8.555928 6:4.559742 7:12.944826 8:-3.6768615 9:11.930928 10:-5.243031 11:0.88747627 12:-7.6297235 13:5.5625725 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:383.5991 2:16.766745 3:-6.1500134 4:-0.50871474 5:10.303961 6:2.8572474 7:11.365293 8:-1.5992126 9:12.404289 10:-5.0669374 11:1.5879135 12:-9.057469 13:4.8409615 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:375.8755 2:12.5692835 3:-6.5983167 4:5.2473636 5:8.617408 6:-0.37631017 7:12.01157 8:-0.6042743 9:13.570808 10:-4.4106073 11:0.82546324 12:-7.5799603 13:4.4464636 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:373.9829 2:-1.9517435 3:-5.918467 4:16.647081 5:8.14594 6:-4.972479 7:9.140246 8:2.0210338 9:14.666728 10:-8.8813305 11:2.1229217 12:-4.1906347 13:2.1390867 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:374.02972 2:-6.7421327 3:-7.2665806 4:17.479681 5:9.068209 6:-3.402579 7:5.4215293 8:0.050716527 9:15.542346 10:-5.5709753 11:2.7631953 12:-6.5777907 13:2.188317 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:353.52158 2:6.91585 3:-0.39176458 4:7.850009 5:11.135539 6:-0.33776218 7:4.646727 8:-0.2763383 9:12.471036 10:-3.1695387 11:4.4110785 12:-7.0831795 13:3.0485003 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:341.67374 2:15.405333 3:7.505435 4:0.72532445 5:8.31348 6:0.11237403 7:9.507841 8:-0.77074194 9:10.418143 10:-3.7914774 11:0.8339758 12:-4.19212 13:7.5793495 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:349.82336 2:18.02092 3:5.7559 4:-1.305695 5:7.8021593 6:0.7727871 7:8.566152 8:-2.1521523 9:11.891365 10:-3.356096 11:-0.08448312 12:-3.8741565 13:8.943737 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
1 1:362.59158 2:16.717167 3:5.009271 4:-0.44317195 5:7.5108643 6:-1.3654159 7:7.204914 8:-2.3711748 9:11.860464 10:-3.797433 11:1.0859894 12:-3.4687881 13:6.6346216 14:107.641884 15:7.219812 16:3.11492 17:-0.41337314 18:2.7892184 19:-0.0092799105 20:0.20364973 21:-4.2245584 22:1.9592886 23:-1.18721 24:0.922319 25:-1.5878136 26:1.4649258 
