1 1:368.19742 2:-15.329646 3:-11.347828 4:10.585201 5:5.341121 6:-3.664656 7:5.503471 8:-3.9396346 9:7.3239594 10:-5.5105295 11:0.01125178 12:-1.1414297 13:4.305076 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:366.8393 2:-13.637097 3:-15.110946 4:6.7422743 5:4.812891 6:-0.7766697 7:7.9013286 8:-2.4684722 9:7.1383834 10:-6.381577 11:-0.93282247 12:-2.4915195 13:4.020151 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:350.86874 2:-2.3606467 3:-9.45752 4:6.987145 5:5.3004193 6:-0.23115277 7:9.06787 8:-1.3067795 9:7.173051 10:-6.506957 11:0.49706957 12:-2.7422507 13:4.764042 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:378.60922 2:17.838947 3:-1.8895756 4:-0.88316 5:9.637409 6:4.5249906 7:13.520874 8:-5.045188 9:11.900815 10:-4.0578895 11:0.48482996 12:-7.3363748 13:4.2643747 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:385.24893 2:17.467495 3:-6.5904765 4:-1.2917229 5:10.635717 6:2.911929 7:12.703601 8:-3.4238966 9:12.214856 10:-4.313586 11:1.6223756 12:-8.434177 13:3.8371034 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:376.80734 2:17.627197 3:-4.3157163 4:-1.2635784 5:9.964958 6:1.745516 7:11.306093 8:-2.2262301 9:13.101209 10:-3.8405843 11:1.3548794 12:-7.780456 13:3.4984894 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:372.11664 2:9.504772 3:-5.861225 4:9.688991 5:8.222411 6:-3.3383527 7:11.628571 8:0.38614908 9:12.893978 10:-5.5534263 11:1.81721 12:-5.6809173 13:2.9908574 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:370.86795 2:-2.0588996 3:-6.637327 4:16.511648 5:7.808622 6:-4.2264695 7:8.86612 8:0.7208385 9:14.088811 10:-5.7415977 11:2.7578456 12:-6.001009 13:2.7913063 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:367.23355 2:7.032139 3:-4.145404 4:9.108078 5:9.916049 6:-0.88304603 7:6.6195807 8:0.38844773 9:13.9785595 10:-6.229557 11:5.2312775 12:-5.143152 13:2.2042449 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
1 1:340.41348 2:15.835039 3:7.674101 4:-0.70079386 5:8.700029 6:0.87900835 7:9.723615 8:-1.0172985 9:8.682438 10:-2.8453293 11:2.686491 12:-4.5443234 13:6.381051 14:101.81723 15:4.3948507 16:2.1038327 17:-0.22797558 18:3.2751844 19:0.6389535 20:2.5715108 21:-0.64727604 22:2.815114 23:-0.34907714 24:0.611677 25:-2.204193 26:1.6083208 
