1 1:311.44327 2:27.523119 3:7.576277 4:-6.3738422 5:7.5435615 6:4.2840104 7:7.41762 8:-5.9571447 9:10.54579 10:-4.24418 11:5.787392 12:-6.855772 13:9.853914 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:320.52704 2:21.774578 3:10.653651 4:-6.273199 5:8.052512 6:1.7879632 7:6.8738074 8:-5.0807657 9:8.5296 10:-3.242332 11:4.9583483 12:-4.310672 13:7.679211 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:318.9273 2:22.628664 3:8.927804 4:-5.2113 5:11.424762 6:1.8678057 7:4.3539777 8:-6.829909 9:9.820996 10:-2.69557 11:3.8628304 12:-4.8639593 13:8.308835 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:322.24002 2:24.316235 3:9.43177 4:-5.584117 5:10.053062 6:0.9459992 7:5.2863817 8:-6.577888 9:8.275898 10:-3.3719542 11:4.740815 12:-4.761323 13:8.324463 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:334.40762 2:23.192629 3:10.877553 4:-1.9843622 5:6.68072 6:0.66107166 7:4.1550584 8:-8.712145 9:7.249757 10:-5.0683393 11:4.3481727 12:-6.7670984 13:7.3854504 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:344.17438 2:30.40198 3:11.476738 4:0.1597843 5:6.6718388 6:-1.2023453 7:0.08711363 8:-14.574397 9:6.7186103 10:-3.0426855 11:5.4708867 12:-8.5184965 13:9.809652 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:347.0517 2:28.661575 3:9.853817 4:-0.66469973 5:6.7742953 6:-2.5486631 7:0.06296408 8:-14.534944 9:6.884576 10:-1.3292438 11:5.514564 12:-9.346744 13:7.867086 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:357.23117 2:22.787277 3:10.941126 4:-2.8026364 5:6.7267303 6:-3.8662434 7:-1.7563313 8:-11.878083 9:7.434348 10:-1.0055393 11:5.5342884 12:-8.502327 13:4.253573 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:354.92236 2:26.54586 3:9.707515 4:-4.2117257 5:5.649089 6:-2.7009404 7:-0.5287396 8:-12.319158 9:8.171139 10:-0.885934 11:6.6025186 12:-10.66916 13:4.7213964 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
1 1:349.72037 2:31.4567 3:5.813247 4:-2.7675571 5:5.7509384 6:-4.489307 7:2.080957 8:-11.742613 9:7.3869314 10:0.1026498 11:7.8214555 12:-14.718546 13:6.5354767 14:96.56516 15:7.5791574 16:0.76779866 17:-0.7385124 18:3.8929923 19:0.55429 20:1.7990406 21:-2.2298203 22:4.1959057 23:0.23208186 24:1.4184208 25:-2.73299 26:2.3368816 
