1 1:225.761 2:-1.222754 3:7.3241444 4:3.3480434 5:3.3301075 6:-1.6151147 7:0.32516477 8:-3.448457 9:2.9521003 10:0.31225723 11:4.496163 12:-2.04876 13:3.4260583 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:229.32642 2:-1.6390024 3:8.646847 4:3.7562828 5:2.5283053 6:-1.2161595 7:1.6930814 8:-2.8051925 9:3.0258036 10:-0.8509681 11:4.088637 12:-1.3712894 13:2.7583673 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:231.30667 2:0.025481816 3:5.547984 4:0.93949085 5:0.93685305 6:-1.6433455 7:1.5909683 8:-2.9940932 9:2.9908984 10:-0.49641323 11:3.4733562 12:-2.0467749 13:3.3514419 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:227.90482 2:-2.3666077 3:4.1145406 4:0.21880904 5:1.7457432 6:-0.029088996 7:1.9323941 8:-2.9166129 9:2.0359964 10:-0.8612662 11:3.1657376 12:-2.65267 13:3.3612702 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:229.75354 2:-0.16856875 3:7.047523 4:0.76331604 5:1.2710648 6:-0.11561994 7:2.8975563 8:-1.3978167 9:3.7970655 10:-0.23311208 11:2.8343341 12:-2.9585168 13:3.5366352 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:234.4827 2:1.2953762 3:5.6010113 4:0.06634272 5:2.6246505 6:0.9105202 7:2.7704613 8:-2.4784634 9:3.2941628 10:-1.8833362 11:3.2880483 12:-1.9710033 13:5.203289 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:236.37497 2:3.2506688 3:5.747583 4:-0.80952513 5:0.8025661 6:0.49686712 7:3.473102 8:-1.7466906 9:4.22597 10:-3.0362587 11:1.8134632 12:-2.5440524 13:4.7420487 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:253.14651 2:8.300348 3:5.0666723 4:-3.2877722 5:-0.83604133 6:1.8211936 7:6.186285 8:-3.0209515 9:4.739011 10:-5.04543 11:0.17965813 12:-2.2174726 13:6.7907515 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:251.453 2:5.1455393 3:4.03119 4:-0.8469683 5:1.5773332 6:3.6351264 7:5.3665633 8:-2.4567468 9:5.1728168 10:-5.081971 11:3.5238879 12:-1.8615977 13:5.8675203 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
1 1:265.1182 2:9.472799 3:10.743036 4:1.566595 5:2.6356897 6:4.05215 7:7.7602324 8:-0.8253135 9:11.054308 10:-3.7066789 11:6.0651493 12:-4.8565226 13:5.1627994 14:81.08064 15:4.185233 16:4.181758 17:0.39582598 18:3.252945 19:0.6363047 20:2.5150244 21:-1.0058559 22:2.693618 23:-0.27382922 24:1.4565537 25:-1.7015612 26:2.0269482 
