1 1:246.14912 2:-7.843071 3:5.9425516 4:-0.72239435 5:0.718699 6:0.0354173 7:2.0406177 8:0.48101372 9:4.382298 10:-2.8369708 11:0.65803146 12:-1.0952834 13:3.414118 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:253.7259 2:-4.9380198 3:5.927833 4:0.54230994 5:0.94773203 6:0.4938257 7:4.5032682 8:0.6689469 9:2.929731 10:-2.4005835 11:1.369956 12:-2.0185187 13:3.2385602 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:252.3035 2:-5.607296 3:6.301674 4:-0.3452614 5:-0.29384178 6:-0.31684038 7:3.4253778 8:0.16475207 9:4.7337317 10:0.37584138 11:3.2021563 12:-1.1061146 13:2.7382622 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:262.36346 2:-1.8692179 3:10.542207 4:0.9117952 5:1.8189776 6:0.24247852 7:4.5166664 8:0.35427123 9:5.2548194 10:-1.0428253 11:2.6663613 12:-2.2952845 13:2.319046 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:301.87952 2:19.00898 3:10.024361 4:-7.134172 5:4.827474 6:1.9521071 7:7.0595207 8:-2.432118 9:10.024565 10:-0.4470839 11:4.6842365 12:-5.2207594 13:6.102226 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:307.89844 2:19.051134 3:9.836992 4:-5.7747545 5:8.303826 6:0.53888035 7:7.223855 8:-1.9221768 9:10.161136 10:-1.1222389 11:4.356919 12:-4.587654 13:5.792114 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:313.90555 2:23.195404 3:7.2350783 4:-7.0799737 5:6.733524 6:1.2605716 7:6.67034 8:-3.6368618 9:10.969783 10:-0.26122364 11:4.8793817 12:-5.924053 13:6.65609 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:315.45724 2:23.225471 3:6.2891054 4:-8.405257 5:6.019288 6:1.1125358 7:6.574683 8:-4.2705503 9:10.545091 10:-0.8683411 11:4.7673817 12:-4.8425827 13:6.0156364 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:314.86658 2:25.497746 3:8.146304 4:-9.970629 5:6.196254 6:2.623946 7:6.1051245 8:-5.4182787 9:10.373095 10:-1.0299524 11:4.5844946 12:-5.6944118 13:6.7500854 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
1 1:318.12924 2:24.74968 3:8.433083 4:-9.299585 5:4.846375 6:2.4173667 7:7.04619 8:-6.1892304 9:10.0100975 10:-1.1870712 11:4.6728806 12:-5.2263527 13:6.3036733 14:88.94773 15:3.9839132 16:3.585285 17:-0.53026056 18:3.0488672 19:1.1212084 20:2.3214154 21:-1.0078994 22:2.3624892 23:-0.32738742 24:0.99098974 25:-1.6677942 26:1.5960798 
