1 1:316.4389 2:24.806524 3:8.404899 4:-8.859532 5:5.4564195 6:1.1361524 7:5.2010465 8:-5.152288 9:10.817689 10:-0.29046062 11:4.2657585 12:-4.6637244 13:6.4210176 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:321.84427 2:24.20107 3:8.83364 4:-9.700862 5:5.796136 6:1.885424 7:4.964248 8:-6.677827 9:10.421607 10:-0.058966685 11:3.9602325 12:-4.807866 13:6.3483915 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:323.14493 2:25.58952 3:7.9039207 4:-10.735953 5:6.1884356 6:2.4712741 7:3.9780462 8:-8.092667 9:10.666832 10:-0.29385796 11:3.60987 12:-4.6446643 13:6.8478165 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:333.6173 2:20.936258 3:6.5661025 4:-5.7568855 5:5.926571 6:-1.0420605 7:5.3282833 8:-6.9100294 9:8.310712 10:-1.0036606 11:5.0848465 12:-4.3912964 13:4.065741 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:340.07007 2:26.183636 3:11.184844 4:-4.693206 5:5.517806 6:-2.2969608 7:4.8498063 8:-9.31237 9:6.2441044 10:-3.0688207 11:4.662782 12:-6.2044854 13:3.753335 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:336.3622 2:28.78376 3:13.318144 4:-5.646614 5:1.9887685 6:-2.5339653 7:4.932001 8:-11.466097 9:6.248283 10:-3.118177 11:5.137151 12:-6.291029 13:4.292843 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:340.0504 2:28.90133 3:13.065204 4:-7.1082997 5:1.7705082 6:-5.149365 7:4.347039 8:-9.999893 9:5.7113657 10:-2.121547 11:6.073515 12:-6.975894 13:3.9223795 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:346.58783 2:24.307173 3:12.541543 4:-7.7299595 5:1.4021089 6:-5.5456786 7:4.170912 8:-6.8732862 9:6.0655756 10:-2.9200225 11:4.605165 12:-6.3902745 13:2.1249838 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:341.08548 2:27.300123 3:12.643827 4:-8.51884 5:0.95733523 6:-5.548138 7:5.405832 8:-6.5638504 9:7.204054 10:-3.0592191 11:4.164675 12:-7.01639 13:1.789098 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
1 1:340.63992 2:27.64892 3:11.416966 4:-8.988837 5:0.6528959 6:-3.6798189 7:5.680675 8:-6.484673 9:8.431497 10:-3.5728416 11:3.634645 12:-8.16158 13:0.20670572 14:94.66593 15:6.0725474 16:3.2332242 17:0.54330677 18:2.809615 19:-0.09568641 20:0.17236868 21:-3.6636364 22:1.1706506 23:-1.2155669 24:1.2290267 25:-1.2865133 26:1.45613 
