1 1:338.28983 2:26.852346 3:13.501121 4:-1.6048586 5:3.776273 6:-7.3330355 7:0.3098966 8:-9.160478 9:10.358027 10:-2.8996656 11:3.555481 12:-6.1604486 13:5.881322 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:341.369 2:26.693357 3:12.471381 4:-4.048819 5:2.7161312 6:-6.2988834 7:1.7319955 8:-9.277 9:9.889041 10:-2.7730944 11:4.163736 12:-7.2611613 13:3.8749075 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:348.5574 2:25.673635 3:10.963283 4:-6.993243 5:3.167402 6:-6.280446 7:2.8614802 8:-7.7022767 9:8.862656 10:-1.8669211 11:2.4930146 12:-7.624247 13:3.7096817 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:347.21808 2:25.008852 3:12.088064 4:-5.6650224 5:1.8433558 6:-7.0730667 7:4.8548937 8:-5.922942 9:7.0486727 10:-2.0478861 11:2.8618524 12:-7.776378 13:2.130201 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:352.50833 2:25.00005 3:9.485396 4:-7.3348937 5:2.5137935 6:-5.0586615 7:5.98579 8:-6.4468727 9:8.140848 10:-2.7357383 11:1.3032254 12:-7.6824875 13:2.410122 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:349.67108 2:24.431984 3:10.257303 4:-7.8650594 5:2.062645 6:-1.9317007 7:6.1609483 8:-6.203499 9:8.237285 10:-3.6026032 11:1.49375 12:-9.218714 13:3.1806078 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:348.21362 2:21.986288 3:9.806424 4:-5.39569 5:0.89880365 6:1.7729559 7:7.452183 8:-7.965302 9:7.4939604 10:-3.2260451 11:0.97252053 12:-8.836931 13:4.0751085 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:343.00662 2:23.587662 3:9.773977 4:-5.6090574 5:0.9111749 6:4.434787 7:8.280024 8:-8.325805 9:8.244822 10:-5.4454575 11:2.4457283 12:-8.373795 13:3.9281166 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:346.4791 2:20.553835 3:8.80051 4:-4.524326 5:1.5802801 6:7.1938715 7:8.590752 8:-7.8587523 9:8.266908 10:-4.709701 11:1.4905685 12:-8.187349 13:5.9343624 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:343.77243 2:21.249294 3:6.093292 4:-3.9600823 5:4.2452087 6:7.5687428 7:9.318322 8:-6.846019 9:8.816574 10:-4.8553486 11:1.6987711 12:-8.63241 13:5.165395 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:344.0588 2:19.7288 3:6.1931114 4:-5.324422 5:6.2326727 6:7.0708737 7:10.947176 8:-6.178235 9:9.197235 10:-3.3253965 11:0.2431826 12:-8.069641 13:5.389743 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:342.80322 2:18.85733 3:6.8870564 4:-4.5418434 5:4.5985413 6:7.8298225 7:12.330647 8:-5.5371704 9:10.803609 10:-3.9974124 11:-0.12194599 12:-7.613273 13:5.256181 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:337.05185 2:21.82472 3:8.468261 4:-6.01748 5:3.658728 6:5.816838 7:13.689513 8:-3.6771924 9:11.454421 10:-2.8872511 11:0.3190149 12:-9.105214 13:5.4592586 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
1 1:327.76926 2:21.250488 3:12.341756 4:-6.3720694 5:2.1790893 6:4.137615 7:13.197288 8:-1.4848368 9:12.198203 10:-2.2506838 11:1.6205515 12:-8.511613 13:4.116073 14:86.05425 15:3.1935835 16:4.0260835 17:-0.37237972 18:0.14495574 19:-0.10519317 20:1.6762561 21:-1.1511894 22:1.4825059 23:-0.70816565 24:0.65071636 25:-1.2070718 26:0.90591395 
