1 1:279.24954 2:-17.115246 3:3.3762708 4:3.0510015 5:0.9936353 6:1.7878814 7:4.068119 8:1.2031829 9:2.921031 10:-1.1158266 11:2.3442166 12:-2.8938262 13:2.5244377 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:283.72357 2:-19.901108 3:3.8167448 4:6.476404 5:1.5851177 6:2.3752327 7:3.8957682 8:-0.32204032 9:3.1627111 10:-0.38944 11:2.6897442 12:-2.7657511 13:3.0609677 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:283.4743 2:-21.276836 3:5.4001966 4:6.2232633 5:-0.95529795 6:2.1327558 7:3.3726218 8:0.9593008 9:4.5179973 10:-0.30464697 11:3.4642212 12:-3.20379 13:3.1599104 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:292.32745 2:-14.158841 3:10.368481 4:6.9148383 5:0.57439804 6:3.3314688 7:3.615886 8:0.30209488 9:4.6710773 10:-0.90928507 11:4.154307 12:-1.7890728 13:2.3525376 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:319.21234 2:2.2058742 3:12.025236 4:0.65867925 5:0.8627967 6:3.3681066 7:6.304999 8:1.1759864 9:8.048951 10:0.35158986 11:2.5255659 12:-3.7914839 13:5.650689 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:315.11853 2:0.4374223 3:13.328395 4:2.7045455 5:2.754117 6:3.2386982 7:6.5741735 8:1.9229898 9:8.36789 10:-0.6374374 11:3.2856584 12:-3.0244792 13:6.938062 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:323.94467 2:4.2177086 3:12.666539 4:0.69601667 5:3.0249274 6:3.3148394 7:4.5813336 8:0.3796633 9:9.775979 10:0.42855778 11:4.421963 12:-3.0124614 13:6.9331727 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:327.25568 2:3.9646041 3:12.355402 4:1.2556043 5:2.3406205 6:2.5517714 7:4.5150027 8:0.74600863 9:10.030137 10:0.06741665 11:3.6939814 12:-2.7264376 13:8.351673 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:331.23386 2:7.2011337 3:12.252788 4:-1.3322257 5:1.7661562 6:1.426091 7:5.8202014 8:0.622785 9:8.967809 10:-0.12195092 11:3.7928486 12:-2.7102654 13:7.6180615 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
1 1:339.62418 2:12.942812 3:14.069475 4:-2.4261315 5:2.0015175 6:1.6558677 7:4.4323506 8:-2.554202 9:6.791232 10:-2.3164153 11:2.9973445 12:-4.4949045 13:5.82537 14:103.59422 15:7.0493155 16:0.96606636 17:-0.107081726 18:3.1664886 19:-0.3097342 20:1.5939624 21:-3.4867816 22:2.3133724 23:-0.21305838 24:1.3876958 25:-1.4447329 26:1.4102246 
