1 1:281.37122 2:9.382138 3:7.4258776 4:-6.318123 5:3.4926503 6:2.1077073 7:0.6584939 8:-4.934747 9:4.565656 10:-1.9818637 11:4.5274487 12:-1.4927214 13:8.140008 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:307.73242 2:19.933617 3:7.330377 4:-10.136019 5:6.272218 6:5.1248884 7:1.5786359 8:-5.766342 9:6.6743274 10:-5.4387894 11:6.32624 12:-1.2770057 13:7.988227 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:309.80746 2:18.98184 3:9.546645 4:-7.8978252 5:4.458676 6:3.3927171 7:4.7503123 8:-6.256215 9:4.7420177 10:-4.031027 11:5.621519 12:-0.56119955 13:8.877865 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:326.42126 2:22.570246 3:13.847918 4:-4.861421 5:3.2407596 6:3.9098153 7:3.6582694 8:-9.660565 9:3.2625318 10:-6.1450815 11:3.3072662 12:-3.513986 13:6.6003804 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:326.9851 2:26.858686 3:15.455855 4:-9.013578 5:2.2873943 6:4.2207003 7:0.6833164 8:-9.792895 9:5.164159 10:-8.014641 11:5.413315 12:-4.1527514 13:6.4255743 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:330.83646 2:26.179634 3:15.308869 4:-10.10897 5:0.98966724 6:2.9891312 7:0.8876261 8:-9.315643 9:4.888257 10:-6.300529 11:5.0985208 12:-5.100805 13:5.971832 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:334.30515 2:25.771782 3:14.074038 4:-10.778132 5:0.058499224 6:3.1113434 7:0.9736255 8:-8.349084 9:5.2051954 10:-5.964984 11:4.568881 12:-5.5752387 13:5.8882155 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:326.58536 2:27.608131 3:13.158394 4:-10.063435 5:-1.0213062 6:0.46487975 7:4.07089 8:-7.2083383 9:7.3717875 10:-6.4632154 11:1.8927717 12:-5.1839595 13:6.483651 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:327.7462 2:25.807665 3:12.339022 4:-8.279067 5:-0.76395124 6:-0.04999876 7:4.24976 8:-6.391799 9:8.167884 10:-6.3278937 11:0.8808175 12:-5.2792788 13:5.694418 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:326.16907 2:24.027954 3:11.527003 4:-7.7170095 5:0.853072 6:0.6445938 7:5.519855 8:-4.730954 9:6.822025 10:-7.914522 11:0.40260378 12:-7.741267 13:5.0155663 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:323.02808 2:22.75569 3:11.871076 4:-5.4055576 5:0.92683893 6:1.339308 7:5.026881 8:-3.2112823 9:6.472995 10:-8.964793 11:1.0187576 12:-7.4423294 13:5.1671734 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
1 1:323.2026 2:20.157457 3:12.764122 4:-4.6662354 5:1.047848 6:4.3081975 7:4.887177 8:-4.1132846 9:6.767743 10:-8.441452 11:1.2979598 12:-7.32195 13:5.093 14:90.69118 15:5.5413265 16:5.813543 17:0.17817882 18:1.114082 19:-0.562378 20:0.36406946 21:-1.7413025 22:1.3432035 23:-2.2454965 24:1.2271976 25:-0.88511175 26:1.1728582 
