1 1:248.31491 2:-6.9485054 3:6.6359944 4:-0.1728897 5:1.7093054 6:-0.7849842 7:0.96470433 8:-1.0521759 9:2.246997 10:-0.17278643 11:1.9649851 12:-2.160682 13:1.9676819 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:246.75189 2:-7.026856 3:7.201419 4:-0.57280797 5:0.19837844 6:0.15489319 7:0.8882817 8:0.10030314 9:4.320944 10:-1.1013399 11:0.9078166 12:-3.1105828 13:0.7865067 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:250.97174 2:-4.949173 3:4.7953696 4:-0.9603385 5:1.436478 6:-1.0306242 7:0.30393365 8:-0.5391646 9:4.3140373 10:-0.63207334 11:2.6064713 12:-3.9298275 13:0.30719626 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:249.46677 2:-4.9380717 3:6.82292 4:-0.39210454 5:2.4448137 6:-0.27457878 7:1.7480423 8:-0.46470872 9:4.1241674 10:0.37410703 11:1.4050113 12:-2.7066462 13:2.2653258 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:251.04219 2:-6.1358957 3:4.297389 4:-1.7345923 5:2.696648 6:1.6177064 7:1.2160269 8:-1.3765574 9:2.6970446 10:-1.6835282 11:1.9269383 12:-2.4035466 13:2.6241262 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:270.8493 2:2.116996 3:3.4179106 4:-2.595687 5:3.222568 6:-2.198578 7:-1.4803166 8:-0.9847435 9:4.4752955 10:-3.0170968 11:2.8318355 12:-4.5034413 13:3.6830757 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:259.97955 2:-2.472301 3:4.9569335 4:-1.1731229 5:2.8686864 6:-0.8164942 7:-0.19199915 8:-1.4389243 9:4.0538187 10:-1.314132 11:1.6910647 12:-2.4729488 13:3.5025506 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:258.63046 2:-3.3571982 3:2.5554764 4:-3.628427 5:3.509271 6:0.6775162 7:0.5337185 8:-0.5973518 9:3.3918428 10:-3.0346746 11:0.54370534 12:-2.729965 13:4.4058676 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:256.3669 2:-4.2166214 3:3.5233686 4:-3.7105448 5:1.8233497 6:0.12967996 7:-0.67990476 8:-1.8683511 9:4.0327005 10:-1.2393436 11:1.3862662 12:-1.4327195 13:3.687867 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:255.42662 2:-4.376778 3:3.8953888 4:-1.9076018 5:3.4289367 6:0.9351998 7:-1.0947278 8:-2.482662 9:2.5004199 10:-2.0217743 11:1.5653571 12:-2.842571 13:3.1358101 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:259.9184 2:-1.1920729 3:5.174803 4:-2.7001991 5:4.101399 6:2.5948143 7:0.7103099 8:-1.5771973 9:5.66523 10:-1.0066549 11:2.10189 12:-2.0208566 13:3.3300307 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:259.63467 2:-1.4287161 3:6.6586246 4:-2.0646932 5:3.801418 6:3.0960145 7:3.376367 8:-1.0624834 9:3.562979 10:-1.2304733 11:5.165416 12:0.1494967 13:4.1477957 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:282.2232 2:11.335863 3:10.822907 4:-4.027376 5:6.021306 6:1.1133637 7:3.3520377 8:-2.3910122 9:5.5770273 10:-1.3531728 11:5.049325 12:-1.2663229 13:6.7946754 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:280.4325 2:11.499068 3:13.600624 4:-1.1704094 5:4.7414665 6:0.07616837 7:2.2236733 8:-2.6014936 9:5.3833776 10:-1.3021007 11:4.588014 12:-1.432008 13:7.0263057 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:281.976 2:12.054582 3:13.543608 4:-2.7979424 5:4.864249 6:2.7046006 7:2.8035023 8:-3.2781343 9:5.1763463 10:-2.7442899 11:5.220146 12:-0.96730286 13:5.4996243 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:285.69238 2:13.373433 3:12.697597 4:-3.941716 5:4.8820314 6:3.1882687 7:4.131821 8:-4.1326075 9:5.806592 10:-2.8126435 11:5.2732973 12:-0.5644947 13:6.394065 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:298.6845 2:13.247217 3:13.340993 4:-2.8812554 5:3.1221786 6:2.4210815 7:5.2388625 8:-4.770438 9:2.8193195 10:-2.591776 11:5.780403 12:-1.6760008 13:4.9011354 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:307.7012 2:19.822372 3:14.449171 4:-4.4243917 5:2.0617268 6:1.1610253 7:3.6132867 8:-6.742028 9:3.1527777 10:-5.210652 11:4.8828297 12:-2.9488544 13:5.2638993 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
1 1:309.80524 2:23.290764 3:15.186161 4:-6.813804 5:-0.6071235 6:1.3067799 7:4.7021456 8:-8.183611 9:5.3553333 10:-7.263987 11:4.6307516 12:-3.4527335 13:3.2623172 14:94.983086 15:6.578821 16:5.2027025 17:-1.4957876 18:0.2588686 19:0.22731902 20:1.9941733 21:-1.4598372 22:1.1287782 23:-2.371831 24:1.6709794 25:-1.0030043 26:0.917162 
